iter	Passed	Remaining
0	1	110
1	2	114
2	3	109
3	4	100
4	5	96
5	6	94
6	6	92
7	7	90
8	8	88
9	9	87
10	10	86
11	11	86
12	12	85
13	14	87
14	15	87
15	16	86
16	17	85
17	18	84
18	19	82
19	20	81
20	21	79
21	22	79
22	23	78
23	24	76
24	25	75
25	26	75
26	27	73
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	40	58
41	41	57
42	42	55
43	43	54
44	44	54
45	45	53
46	46	51
47	47	51
48	48	50
49	49	49
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	55	40
58	57	39
59	57	38
60	59	37
61	60	36
62	61	35
63	62	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	24
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	89	7
92	90	6
93	91	5
94	91	4
95	93	3
96	93	2
97	94	1
98	95	0
99	96	0
